Formula_id,Formula_pinyin_name,Formula_cn_name,Formula_alias_name,Formula_en_name,Dosage_form,Administration,Type,Category,Herbs_in_Chinese,Herbs_in_pinyin,Syndromes_in_Chinese,Syndromes_in_English,Indications_in_Chinese,Indications_in_English,Source,CPMCP_CMP_id,CPMCP_CPM_id,ITCM_id,ETCM_id
HBFO000001,E Gui Yang Xue Ke Li,阿归养血颗粒,NA,E Gui Yang Xue Granule,颗粒剂 (Granule),Oral,补益药,Chinese patent medicines,"党参, 川芎, 当归, 炙甘草, 熟地黄, 白芍, 茯苓, 阿胶, 黄芪","Dang Shen, Chuan Qiong, Dang Gui, Zhi Gan Cao, Shu Di Huang, Bai Shao, Fu Ling, E Jiao, Huang Qi",气血两虚证,Syndrome of deficiency of both essence and blood,"眩晕, 闭经, 带下病","Amenorrhea, Leukorrheal diseases, Dizziness",ETCM,NA,NA,1,1
HBFO000002,E Gui Yang Xue Tang Jiang,阿归养血糖浆,NA,E Gui Yang Xue Syrup,糖浆剂 (Syrup),Oral,补益药,Chinese patent medicines,"党参, 川芎, 当归, 炙甘草, 熟地黄, 白芍, 茯苓, 阿胶, 黄芪","Dang Shen, Chuan Qiong, Dang Gui, Zhi Gan Cao, Shu Di Huang, Bai Shao, Fu Ling, E Jiao, Huang Qi",气血两虚证,Syndrome of deficiency of both essence and blood,"眩晕, 闭经, 带下病","Amenorrhea, Leukorrheal diseases, Dizziness",ETCM,NA,NA,2,2
HBFO000003,E Jiao Bu Xue Gao,阿胶补血膏,NA,Ejiao Buxue Electuary; E Jiao Bu Xue Electuary,煎膏剂 (Electuary),Oral,补益药,Chinese patent medicines,"党参, 枸杞子, 熟地黄, 白术, 阿胶, 黄芪","Dang Shen, Gou Qi Zi, Shu Di Huang, Bai Zhu, E Jiao, Huang Qi",气血两虚证; 气阴两虚证,Syndrome of deficiency of both essence and blood; Syndrome of deficiency of both qi and yin,"虚劳, 咳嗽","Cough, Consumptive disease",Chinese Pharmacopoeia 2020 edition,NA,NA,3,3
HBFO000004,E Jiao Bu Xue Ke Li,阿胶补血颗粒,NA,E Jiao Bu Xue Granule,颗粒剂 (Granule),Oral,补益药,Chinese patent medicines,"党参, 枸杞子, 熟地黄, 白术, 阿胶, 黄芪","Dang Shen, Gou Qi Zi, Shu Di Huang, Bai Zhu, E Jiao, Huang Qi",气血两虚证,Syndrome of deficiency of both essence and blood,"虚劳, 咳嗽, 血劳","Cough, Consumptive disease, Blood fatigue",ETCM,NA,NA,4,4
HBFO000005,E Jiao Bu Xue Kou Fu Ye,阿胶补血口服液,NA,E Jiao Bu Xue Oral Liquid; Ejiao Buxue Oral Liquid,口服液 (Oral Liquid Pharmaceutical Preparation),Oral,补益药,Chinese patent medicines,"党参, 枸杞子, 炙黄芪, 熟地黄, 白术, 阿胶","Dang Shen, Gou Qi Zi, Zhi Huang Qi, Shu Di Huang, Bai Zhu, E Jiao",气血两虚证; 气虚证; 血虚证,Syndrome of qi deficiency; Syndrome of deficiency of both essence and blood; Syndrome of blood deficiency,"虚劳, 咳嗽","Cough, Consumptive disease",Chinese Pharmacopoeia 2020 edition,NA,NA,5,5
HBFO000006,E Jiao Dang Gui He Ji,阿胶当归合剂,NA,E Jiao Dang Gui Mixture,合剂 (Mixture),Oral,补益药,Chinese patent medicines,"党参, 川芎, 当归, 炙甘草, 炙黄芪, 熟地黄, 白芍, 茯苓, 阿胶","Dang Shen, Chuan Qiong, Dang Gui, Zhi Gan Cao, Zhi Huang Qi, Shu Di Huang, Bai Shao, Fu Ling, E Jiao",气血两虚证,Syndrome of deficiency of both essence and blood,"血劳, 月经失调, 闭经","Amenorrhea, Blood fatigue, Menstrual irregularities",ETCM,NA,NA,6,6
HBFO000007,E Jiao Ke Li,阿胶颗粒,NA,E Jiao Granule,颗粒剂 (Granule),Oral,补益药,Chinese patent medicines,阿胶,E Jiao,血虚证; 阴虚证,Syndrome of blood deficiency; Syndrome of yin deficiency,"虚劳, 崩漏, 月经失调, 胎动不安, 咯血, 吐血, 便血, 血劳","Flooding and spotting, Hematochezia, Hemoptysis, Threatened abortion, Hematemesis, Consumptive disease, Blood fatigue, Menstrual irregularities",ETCM,NA,NA,7,7
HBFO000008,E Jiao San Bao Gao,阿胶三宝膏,NA,Ejiao Sanbao Concentrated Decoction; E Jiao San Bao Electuary,煎膏剂 (Electuary),Oral,补益药,Chinese patent medicines,"大枣, 阿胶, 黄芪","Da Zao, E Jiao, Huang Qi",气血两虚证,Syndrome of deficiency of both essence and blood,"心悸, 崩漏, 水肿","Flooding and spotting, Edema, Palpitations",Chinese Pharmacopoeia 2020 edition,NA,NA,8,8
HBFO000009,E Jiao Sheng Hua Gao,阿胶生化膏,NA,E Jiao Sheng Hua Electuary,煎膏剂 (Electuary),Oral,补益药,Chinese patent medicines,"关木通, 川芎, 当归, 桃仁, 熟地黄, 王不留行, 甘草, 益母草, 赤芍, 路路通, 阿胶, 麦冬, 黄芪","Guan Mu Tong, Chuan Qiong, Dang Gui, Tao Ren, Shu Di Huang, Wang Bu Liu Xing, Gan Cao, Yi Mu Cao, Chi Shao, Lu Lu Tong, E Jiao, Mai Dong, Huang Qi",气血两虚证,Syndrome of deficiency of both essence and blood,"血风劳, 缺乳","Oligogalactia, Blood-wind fatigue ",ETCM,NA,NA,9,9
HBFO000010,E Jiao Yi Shou Jing,阿胶益寿晶,NA,E Jiao Yi Shou Jing,丸剂 (Pill),Oral,补益药,Chinese patent medicines,"人参, 制何首乌, 木香, 炙黄芪, 熟地黄, 甘草, 阿胶, 陈皮","Ren Shen, Zhi He Shou Wu, Mu Xiang, Zhi Huang Qi, Shu Di Huang, Gan Cao, E Jiao, Chen Pi",气血两虚证,Syndrome of deficiency of both essence and blood,"早衰症, 健忘, 不寐","Inability to sleep, Forgetfulness, Premature senility",ETCM,NA,NA,10,10
