Disease_id	Disease_name	Disease_alias_name	DisGeNET_disease_type	UMLS_disease_type	MeSH_disease_class	HPO_disease_class	DO_disease_class	UMLS_disease_type_id	MeSH_disease_class_id	HPO_disease_class_id	DO_disease_class_id	DisGeNET_id	MeSH_id	HPO_id	DO_id	ICD10_id	OMIM_id
HBDIS000001	Abdomen, Acute	Acute Abdomen; Abdomen, Acute	phenotype	Sign or Symptom	Pathological Conditions, Signs and Symptoms	NA	NA	T184	C23	NA	NA	C0000727	D000006	NA	NA	R10.0	NA
HBDIS000002	Abdominal Cramps	Infantile Colic; Colic; Abdominal Cramps	phenotype	Sign or Symptom	Congenital, Hereditary, and Neonatal Diseases and Abnormalities	NA	NA	T184	C16	NA	NA	C0000729	D003085	NA	NA	NA	NA
HBDIS000003	Abdomen Distended	Distended Abdomen; Belly Bloating; Bloating; Abdominal Distention; Abdominal Bloating; Abdominal Distension; Abdominal Swelling	phenotype	Finding	Digestive System Diseases	Abnormality of the digestive system	NA	T033	C06	HP:0025031	NA	C0000731	NA	HP:0003270	NA	NA	NA
HBDIS000004	Abdominal Mass	Abdominal Mass	phenotype	Finding	Digestive System Diseases	Abnormality of the digestive system	NA	T033	C06	HP:0025031	NA	C0000734	NA	HP:0031500	NA	NA	NA
HBDIS000005	Abdominal Neoplasms	Abdominal Neoplasms	group	Neoplastic Process	Neoplasms	NA	NA	T191	C04	NA	NA	C0000735	D000008	NA	NA	NA	NA
HBDIS000006	Abdominal Pain	Gastrointestinal Pain; Abdominal Pain; Colicky Pain; Abdominal Discomfort; Pain In Stomach; Gastro Pain; Stomach Pain	phenotype	Sign or Symptom	Pathological Conditions, Signs and Symptoms	Constitutional symptom; Abnormality of the digestive system	NA	T184	C23	HP:0025031; HP:0025142	NA	C0000737	D015746	HP:0002027	NA	NA	NA
HBDIS000007	Abetalipoproteinemia	Tangier Disease; Hypolipoproteinemia; Norum Disease; Abetalipoproteinemia	disease	Disease or Syndrome	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Abnormality of metabolism/homeostasis	genetic disease; disease of metabolism	T047	C16; C18	HP:0001939	DOID:0014667; DOID:630	C0000744	D000012	HP:0008181	1391; 1388; 1387; 1386	NA	200100
HBDIS000008	Congenital Abnormality	Congenital Malformation, Unspecified; Congenital Abnormality; Congenital Abnormalities	group	Congenital Abnormality	Congenital, Hereditary, and Neonatal Diseases and Abnormalities	NA	NA	T019	C16	NA	NA	C0000768	D000013	NA	NA	Q89.9	NA
HBDIS000009	Abnormalities, Drug-Induced	Abnormalities, Drug-Induced	group	Congenital Abnormality	Congenital, Hereditary, and Neonatal Diseases and Abnormalities	NA	NA	T019	C16	NA	NA	C0000771	D000014	NA	NA	NA	NA
HBDIS000010	Multiple Congenital Anomalies	Abnormalities, Multiple	group	Congenital Abnormality	Congenital, Hereditary, and Neonatal Diseases and Abnormalities	NA	NA	T019	C16	NA	NA	C0000772	D000015	NA	NA	NA	NA
HBDIS000011	Spontaneous Abortion	Abortion, Spontaneous; Abortion, Tubal; Miscarriage; Spontaneous Abortion; Early Pregnancy Loss	phenotype	Pathologic Function	Female Urogenital Diseases and Pregnancy Complications	Abnormality of prenatal development or birth	NA	T046	C13	HP:0001197	NA	C0000786	D000022	HP:0005268	NA	O03	NA
HBDIS000012	Abortion, Habitual	Abortion, Habitual; Habitual Aborter	disease	Disease or Syndrome	Female Urogenital Diseases and Pregnancy Complications	NA	NA	T047	C13	NA	NA	C0000809	D000026	NA	NA	N96	NA
HBDIS000013	Threatened Abortion	Abortion, Threatened; Threatened Abortion; Placental Abruption	phenotype	Pathologic Function	Female Urogenital Diseases and Pregnancy Complications	NA	disease of anatomical entity	T046	C13	NA	DOID:7	C0000821	D000033	NA	9667	O20.0	NA
HBDIS000014	Abortion, Tubal	Abortion, Spontaneous; Abortion, Tubal; Early Pregnancy Loss; Miscarriage	phenotype	Pathologic Function	Female Urogenital Diseases and Pregnancy Complications	NA	NA	T046	C13	NA	NA	C0000822	D000022	NA	NA	NA	NA
HBDIS000015	Abruptio Placentae	Premature Separation of Placenta [Abruptio Placentae]; Placental Abruption; Premature Separation of Placenta, Unspecified; Abruptio Placentae	phenotype	Pathologic Function	Female Urogenital Diseases and Pregnancy Complications	Abnormality of prenatal development or birth	disease of anatomical entity	T046	C13	HP:0001197	DOID:7	C0000832	D000037	HP:0011419	9667	O45.9; O45	NA
HBDIS000016	Abscess	Abscess	phenotype	Disease or Syndrome	Infections; Pathological Conditions, Signs and Symptoms	NA	NA	T047	C01; C23	NA	NA	C0000833	D000038	NA	NA	NA	NA
HBDIS000017	Agenesis	Agenesis; Birth Defects; Atresia; Congenital Defects	disease	Congenital Abnormality	NA	NA	NA	T019	NA	NA	NA	C0000846	Q000002	NA	NA	NA	NA
HBDIS000018	Acanthamoeba Keratitis	Acanthamoeba Keratitis	disease	Disease or Syndrome	Eye Diseases; Infections	NA	NA	T047	C01; C11	NA	NA	C0000880	D015823	NA	NA	NA	NA
HBDIS000019	Acantholysis	Acantholysis	phenotype	Pathologic Function	Skin and Connective Tissue Diseases; Pathological Conditions, Signs and Symptoms	Abnormality of the integument	NA	T046	C17; C23	HP:0001574	NA	C0000887	D000051	HP:0100792	NA	NA	NA
HBDIS000020	Acanthosis Nigricans	Acanthosis Nigricans; Keratosis Nigricans; Darkened And Thickened Skin	disease	Disease or Syndrome	Skin and Connective Tissue Diseases	Abnormality of the integument	disease of anatomical entity	T047	C17	HP:0001574	DOID:7	C0000889	D000052	HP:0000956	3138	L83	100600
HBDIS000021	Accidental Falls	Accidental Falls	phenotype	Injury or Poisoning	NA	NA	NA	T037	NA	NA	NA	C0000921	D000058	NA	NA	NA	NA
HBDIS000022	Achlorhydria	Achlorhydria	phenotype	Pathologic Function	Digestive System Diseases; Nutritional and Metabolic Diseases	NA	NA	T046	C06; C18	NA	NA	C0001075	D000126	NA	NA	NA	NA
HBDIS000023	Achondrogenesis	Achondrogenesis	disease	Congenital Abnormality	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases	NA	NA	T019	C05; C16	NA	NA	C0001079	C579878	NA	NA	Q77.0	NA
HBDIS000024	Achondroplasia	Achondroplasia, Severe, With Developmental Delay And Acanthosis Nigricans; Achondroplasia; Saddan; Hypochondroplasia	disease	Congenital Abnormality	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases	NA	disease of anatomical entity; genetic disease	T019	C05; C16	NA	DOID:7; DOID:630	C0001080	D000130	NA	4480; 111158; 80041	Q77.4	100800
HBDIS000025	Acidosis	Acidemia; Lactic Acidosis; Acidosis, Metabolic; Acidosis	phenotype	Pathologic Function	Nutritional and Metabolic Diseases	Abnormality of metabolism/homeostasis	disease of metabolism	T046	C18	HP:0001939	DOID:0014667	C0001122	D000138	HP:0001941	3650	E87.2	NA
HBDIS000026	Acidosis, Lactic	Lactic Acidosis; Hyperlacticacidemia; Acidosis, Lactic; Lacticacidosis; Lactic Acidemia; Increased Lactate In Body; Lacticacidemia	phenotype	Disease or Syndrome	Nutritional and Metabolic Diseases	Abnormality of metabolism/homeostasis	disease of metabolism	T047	C18	HP:0001939	DOID:0014667	C0001125	D000140	HP:0003128	3650	NA	NA
HBDIS000027	Renal Tubular Acidosis	Distal Renal Tubular Acidosis; Renal Tubular Acidosis, Type Ii; Renal Tubular Acidosis; Acidosis, Renal Tubular	phenotype	Disease or Syndrome	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system	disease of anatomical entity	T047	C12; C16; C18; C13	HP:0000119; HP:0001939	DOID:7	C0001126	D000141	HP:0001947	14219	NA	NA
HBDIS000028	Acidosis, Respiratory	Lactic Acidosis; Respiratory Acidosis; Acidosis, Respiratory	phenotype	Disease or Syndrome	Respiratory Tract Diseases; Nutritional and Metabolic Diseases	Abnormality of metabolism/homeostasis	disease of metabolism	T047	C08; C18	HP:0001939	DOID:0014667	C0001127	D000142	HP:0005972	3650	NA	NA
HBDIS000029	Acinetobacter Infections	Acinetobacter Infections	group	Disease or Syndrome	Infections	NA	NA	T047	C01	NA	NA	C0001139	D000151	NA	NA	NA	NA
HBDIS000030	Acne Vulgaris	Acne; Acne Vulgaris	disease	Disease or Syndrome	Skin and Connective Tissue Diseases	NA	disease of anatomical entity	T047	C17	NA	DOID:7	C0001144	D000152	NA	6543	L70.0	NA
HBDIS000031	Acne Keloid	Acne Keloid	disease	Disease or Syndrome	Skin and Connective Tissue Diseases	NA	NA	T047	C17	NA	NA	C0001145	D000153	NA	NA	L73.0	NA
HBDIS000032	Acquired Immunodeficiency Syndrome	Acquired Immunodeficiency Syndrome; Human Immunodeficiency Virus Infectious Disease	group	Disease or Syndrome	Immune System Diseases; Infections	NA	disease by infectious agent	T047	C01; C20	NA	DOID:0050117	C0001175	D000163	NA	526; 635	NA	NA
HBDIS000033	Apert Syndrome	Sakati-Nyhan Syndrome; Apert Syndrome; Orofaciodigital Syndrome X; Syndrome, Apert; Warburg Micro Syndrome 4; Goldenhar Syndrome; Fraser Syndrome; Warburg Micro Syndrome 1; Warburg Micro Syndrome 2; Branchiootic Syndrome; Orofaciodigital Syndrome I; Pfeiffer Syndrome; Baraitser-Winter Syndrome; Acrocephalosyndactylia; Apert-Crouzon Disease; Weissenbacher-Zweymuller Syndrome; Warburg Micro Syndrome 3; Saethre-Chotzen Syndrome; Mobius Syndrome	disease	Congenital Abnormality	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases	NA	disease of anatomical entity; genetic disease; syndrome	T019	C05; C16	NA	DOID:7; DOID:225; DOID:630	C0001193	D000168	NA	12960; 60359; 60229; 13501; 60232; 110716; 4258; 110717; 110718; 60380; 60316; 90001; 110719; 2907	NA	101200
HBDIS000034	Acrodermatitis	Acrodermatitis; Gianotti-Crosti Syndrome	disease	Disease or Syndrome	Skin and Connective Tissue Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities	NA	disease of anatomical entity	T047	C16; C17	NA	DOID:7	C0001197	D000169	NA	2722	NA	NA
HBDIS000035	Acrokeratosis	Acrokeratosis; Acral Keratosis	disease	Disease or Syndrome	Skin and Connective Tissue Diseases	Abnormality of the integument	NA	T047	C17	HP:0001574	NA	C0001202	NA	HP:0200016	NA	NA	NA
HBDIS000036	Acromegaly	Acromegalic Growth; Growth Hormone Excess; Acral Hypertrophy; Acromegaly	disease	Disease or Syndrome	Endocrine System Diseases; Nervous System Diseases; Musculoskeletal Diseases	Abnormality of the nervous system; Abnormality of the endocrine system	disease of anatomical entity	T047	C05; C10; C19	HP:0000818; HP:0000707	DOID:7	C0001206	D000172	HP:0000845	2449	NA	NA
HBDIS000037	Acth Syndrome, Ectopic	Acth Syndrome, Ectopic; Ectopic Cushing Syndrome; Ectopic Acth Syndrome	disease	Disease or Syndrome	Neoplasms	NA	disease of anatomical entity	T047	C04	NA	DOID:7	C0001231	D000182	NA	60890	E24.3	NA
