Herb_ID,Herb_cn_name,status,detail_url,reason
HERB000002,阿比西尼亚牛筋果,not_found,,no exact pharmacopoeia herb result
HERB000005,阿尔及利亚鸢尾,not_found,,no exact pharmacopoeia herb result
HERB000003,阿尔及利亚棉蓟,not_found,,no exact pharmacopoeia herb result
HERB000004,阿尔及利亚补血草,not_found,,no exact pharmacopoeia herb result
HERB000001,阿比西尼亚刺桐,not_found,,no exact pharmacopoeia herb result
HERB000014,阿根廷鼠曲草,not_found,,no search results
HERB000011,阿福泽尔马钱子,not_found,,no exact pharmacopoeia herb result
HERB000016,阿江榄仁,not_found,,no exact pharmacopoeia herb result
HERB000010,阿富汗黑麦草,not_found,,no search results
HERB000006,阿尔泰银莲花,not_found,,no exact pharmacopoeia herb result
HERB000009,阿富汗杜鹃花,not_found,,no exact pharmacopoeia herb result
HERB000018,阿拉伯胶金合欢,not_found,,no search results
HERB000019,阿拉伯金合欢,not_found,,no search results
HERB000032,阿育魏实,not_found,,no exact pharmacopoeia herb result
HERB000026,阿诺特花椒,not_found,,no exact pharmacopoeia herb result
HERB000041,埃及鼠尾草,not_found,,no search results
HERB000039,埃及假虎刺,not_found,,no exact pharmacopoeia herb result
HERB000040,埃及千里光,not_found,,no exact pharmacopoeia herb result
HERB000048,埃利斯多孔菌,not_found,,no exact pharmacopoeia herb result
HERB000007,阿尔泰紫菀,not_found,,no exact pharmacopoeia herb result
HERB000038,埃及大翅蓟,not_found,,no exact pharmacopoeia herb result
HERB000008,阿富汗丁香,not_found,,no exact pharmacopoeia herb result
HERB000068,矮紫金牛,not_found,,no exact pharmacopoeia herb result
HERB000065,矮向日葵,not_found,,no exact pharmacopoeia herb result
HERB000020,阿拉伯婆婆纳,not_found,,no exact pharmacopoeia herb result
HERB000025,阿曼苏丹没药,not_found,,no exact pharmacopoeia herb result
HERB000052,埃塞俄比亚羽扇豆,not_found,,no exact pharmacopoeia herb result
HERB000062,矮桐子,not_found,,no exact pharmacopoeia herb result
HERB000021,阿里红,not_found,,no exact pharmacopoeia herb result
HERB000037,埃及车轴草,not_found,,no exact pharmacopoeia herb result
HERB000063,爱娃筋骨草,not_found,,no exact pharmacopoeia herb result
HERB000071,安哥拉八角枫,not_found,,no exact pharmacopoeia herb result
HERB000057,艾实,not_found,,no exact pharmacopoeia herb result
HERB000073,安哥拉黄瓜,not_found,,no search results
HERB000072,安哥拉八角枫,not_found,,no exact pharmacopoeia herb result
HERB000074,安哥拉紫檀,not_found,,no search results
HERB000050,艾纳香,not_found,,no exact pharmacopoeia herb result
HERB000035,矮大黄,not_found,,no exact pharmacopoeia herb result
HERB000049,艾麻黄,not_found,,no exact pharmacopoeia herb result
HERB000022,阿里山五味子,not_found,,no exact pharmacopoeia herb result
HERB000046,艾菊,not_found,,no exact pharmacopoeia herb result
HERB000067,艾叶黄芩,not_found,,no exact pharmacopoeia herb result
HERB000088,安乃近,not_found,,no search results
HERB000080,安徽贝母,not_found,,no exact pharmacopoeia herb result
HERB000083,安徽银莲花,not_found,,no exact pharmacopoeia herb result
HERB000098,澳大利亚桑,not_found,,no exact pharmacopoeia herb result
HERB000082,安徽松木,not_found,,no search results
HERB000095,暗棕炭团菌,not_found,,no exact pharmacopoeia herb result
HERB000085,龙舌兰,not_found,,no search results
HERB000096,澳大利亚红豆杉,not_found,,no exact pharmacopoeia herb result
HERB000101,奥地利鳞毛蕨,not_found,,no exact pharmacopoeia herb result
HERB000086,安罗,not_found,,no exact pharmacopoeia herb result
HERB000121,澳洲坚果,not_found,,no exact pharmacopoeia herb result
HERB000078,暗红委陵菜,not_found,,no exact pharmacopoeia herb result
HERB000092,按油,not_found,,no exact pharmacopoeia herb result
HERB000033,阿月浑子,not_found,,no search results
HERB000120,澳洲百脉根,not_found,,no exact pharmacopoeia herb result
HERB000115,奥托肉豆蔻,not_found,,no exact pharmacopoeia herb result
HERB000084,氨基比林,not_found,,no exact pharmacopoeia herb result
HERB000091,按叶,not_found,,no exact pharmacopoeia herb result
HERB000097,澳大利亚千金藤,not_found,,no exact pharmacopoeia herb result
HERB000122,澳洲茄,not_found,,no exact pharmacopoeia herb result
HERB000093,暗紫贝母,not_found,,no exact pharmacopoeia herb result
HERB000044,埃及种植鸢尾,not_found,,no exact pharmacopoeia herb result
HERB000123,澳洲商陆,not_found,,no exact pharmacopoeia herb result
HERB000124,澳洲屎豆,not_found,,no exact pharmacopoeia herb result
HERB000114,凹头苋,not_found,,no exact pharmacopoeia herb result
HERB000109,凹舌兰,not_found,,no exact pharmacopoeia herb result
HERB000136,八角黄皮,not_found,,no exact pharmacopoeia herb result
