Herb_ID,Herb_cn_name,detail_url,filled_fields,filled_values
HERB000036,矮地茶,https://ydz.chp.org.cn/#/item?bookId=1&entryId=573,UsePart,"{""UsePart"": ""全草""}"
HERB000132,白鲜皮,https://ydz.chp.org.cn/#/item?bookId=1&entryId=164,Properties|Meridians,"{""Properties"": ""苦，寒"", ""Meridians"": ""归脾、胃、膀胱经""}"
HERB000137,八角茴香,https://ydz.chp.org.cn/#/item?bookId=1&entryId=4,UsePart,"{""UsePart"": ""成熟果实""}"
HERB000134,巴戟天,https://ydz.chp.org.cn/#/item?bookId=1&entryId=118,Herb_latin_name|Properties|Meridians|Function,"{""Herb_latin_name"": ""MORINDAE OFFICINALIS RADIX"", ""Properties"": ""甘、辛，微温"", ""Meridians"": ""归肾、肝经"", ""Function"": ""补肾阳，强筋骨，祛风湿""}"
HERB000143,菝葜,https://ydz.chp.org.cn/#/item?bookId=1&entryId=487,Herb_latin_name|UsePart|Properties|Meridians|Function,"{""Herb_latin_name"": ""SMILACIS CHINAE RHIZOMA"", ""UsePart"": ""根茎"", ""Properties"": ""甘、微苦、涩，平"", ""Meridians"": ""归肝、肾经"", ""Function"": ""利湿去浊，祛风除痹，解毒散瘀""}"
HERB000177,白矾,https://ydz.chp.org.cn/#/item?bookId=1&entryId=158,Properties|Meridians,"{""Properties"": ""酸、涩，寒"", ""Meridians"": ""归肺、脾、肝、大肠经""}"
HERB000182,白附子,https://ydz.chp.org.cn/#/item?bookId=1&entryId=156,UsePart,"{""UsePart"": ""块茎""}"
HERB000216,白及,https://ydz.chp.org.cn/#/item?bookId=1&entryId=151,Herb_latin_name|UsePart|Properties|Meridians|Function,"{""Herb_latin_name"": ""BLETILLAE RHIZOMA"", ""UsePart"": ""块茎"", ""Properties"": ""苦、甘、涩，微寒"", ""Meridians"": ""归肺、肝、胃经"", ""Function"": ""收敛止血，消肿生肌""}"
HERB000242,白茅根,https://ydz.chp.org.cn/#/item?bookId=1&entryId=157,UsePart,"{""UsePart"": ""根茎""}"
HERB000243,白茅根,https://ydz.chp.org.cn/#/item?bookId=1&entryId=157,Herb_latin_name|UsePart|Properties|Meridians|Function|Indication,"{""Herb_latin_name"": ""IMPERATAE RHIZOMA"", ""UsePart"": ""根茎"", ""Properties"": ""甘，寒"", ""Meridians"": ""归肺、胃、膀胱经"", ""Function"": ""凉血止血，清热利尿"", ""Indication"": ""用于血热吐血，衄血，尿血，热病烦渴，湿热黄疸，水肿尿少，热淋涩痛。""}"
HERB000245,白茅根,https://ydz.chp.org.cn/#/item?bookId=1&entryId=157,UsePart|Properties|Meridians|Function|Indication,"{""UsePart"": ""根茎"", ""Properties"": ""甘，寒"", ""Meridians"": ""归肺、胃、膀胱经"", ""Function"": ""凉血止血，清热利尿"", ""Indication"": ""用于血热吐血，衄血，尿血，热病烦渴，湿热黄疸，水肿尿少，热淋涩痛。""}"
HERB000244,白茅根,https://ydz.chp.org.cn/#/item?bookId=1&entryId=157,Properties|Meridians,"{""Properties"": ""甘，寒"", ""Meridians"": ""归肺、胃、膀胱经""}"
HERB000257,白前,https://ydz.chp.org.cn/#/item?bookId=1&entryId=161,UsePart,"{""UsePart"": ""根茎""}"
HERB000259,白屈菜,https://ydz.chp.org.cn/#/item?bookId=1&entryId=160,Herb_latin_name|Properties|Meridians|Function,"{""Herb_latin_name"": ""CHELIDONII HERBA"", ""Properties"": ""苦，凉；有毒"", ""Meridians"": ""归肺、胃经"", ""Function"": ""解痉止痛，止咳平喘""}"
HERB000286,白鲜皮,https://ydz.chp.org.cn/#/item?bookId=1&entryId=164,Herb_latin_name|UsePart|Properties|Meridians|Function,"{""Herb_latin_name"": ""DICTAMNI CORTEX"", ""UsePart"": ""根皮"", ""Properties"": ""苦，寒"", ""Meridians"": ""归脾、胃、膀胱经"", ""Function"": ""清热燥湿，祛风解毒""}"
HERB000305,白芷,https://ydz.chp.org.cn/#/item?bookId=1&entryId=155,Meridians,"{""Meridians"": ""归胃、大肠、肺经""}"
HERB000325,斑蝥,https://ydz.chp.org.cn/#/item?bookId=1&entryId=525,Herb_latin_name|Properties|Meridians|Function,"{""Herb_latin_name"": ""MYLABRIS"", ""Properties"": ""辛，热；有大毒"", ""Meridians"": ""归肝、胃、肾经"", ""Function"": ""破血逐瘀，散结消癥，攻毒蚀疮""}"
HERB000312,半边莲,https://ydz.chp.org.cn/#/item?bookId=1&entryId=177,Properties|Meridians,"{""Properties"": ""辛，平"", ""Meridians"": ""归心、小肠、肺经""}"
HERB000373,北豆根,https://ydz.chp.org.cn/#/item?bookId=1&entryId=145,UsePart|Properties|Meridians,"{""UsePart"": ""根茎"", ""Properties"": ""苦，寒；有小毒"", ""Meridians"": ""归肺、胃、大肠经""}"
HERB000387,北刘寄奴,https://ydz.chp.org.cn/#/item?bookId=1&entryId=144,Herb_latin_name|UsePart|Properties|Meridians|Function|Indication,"{""Herb_latin_name"": ""SIPHONOSTEGIAE HERBA"", ""UsePart"": ""全草"", ""Properties"": ""苦，寒"", ""Meridians"": ""归脾、胃、肝、胆经"", ""Function"": ""活血祛瘀，通经止痛，凉血，止血，清热利湿"", ""Indication"": ""用于跌打损伤，外伤出血，瘀血经闭，月经不调，产后瘀痛，癥瘕积聚，血痢，血淋，湿热黄疸，水肿腹胀，白带过多。""}"
HERB000418,荜澄茄,https://ydz.chp.org.cn/#/item?bookId=1&entryId=367,Herb_latin_name|UsePart|Properties|Meridians|Function,"{""Herb_latin_name"": ""LITSEAE FRUCTUS"", ""UsePart"": ""成熟果实"", ""Properties"": ""辛，温"", ""Meridians"": ""归脾、胃、肾、膀胱经"", ""Function"": ""温中散寒，行气止痛""}"
HERB000415,荜茇,https://ydz.chp.org.cn/#/item?bookId=1&entryId=366,Herb_latin_name|Properties|Meridians|Function,"{""Herb_latin_name"": ""PIPERIS LONGI FRUCTUS"", ""Properties"": ""辛，热"", ""Meridians"": ""归胃、大肠经"", ""Function"": ""温中散寒，下气止痛""}"
HERB000483,荜澄茄,https://ydz.chp.org.cn/#/item?bookId=1&entryId=367,Herb_latin_name|UsePart|Properties|Meridians|Function|Indication,"{""Herb_latin_name"": ""LITSEAE FRUCTUS"", ""UsePart"": ""成熟果实"", ""Properties"": ""辛，温"", ""Meridians"": ""归脾、胃、肾、膀胱经"", ""Function"": ""温中散寒，行气止痛"", ""Indication"": ""用于胃寒呕逆，脘腹冷痛，寒疝腹痛，寒湿郁滞，小便浑浊。""}"
HERB000553,布渣叶,https://ydz.chp.org.cn/#/item?bookId=1&entryId=139,Herb_latin_name|UsePart|Properties|Meridians|Function|Indication,"{""Herb_latin_name"": ""MICROCTIS FOLIUM"", ""UsePart"": ""叶"", ""Properties"": ""微酸，凉"", ""Meridians"": ""归脾、胃经"", ""Function"": ""消食化滞，清热利湿"", ""Indication"": ""用于饮食积滞，感冒发热，湿热黄疸。""}"
HERB000571,蝉蜕,https://ydz.chp.org.cn/#/item?bookId=1&entryId=587,Indication,"{""Indication"": ""用于风热感冒，咽痛音哑，麻疹不透，风疹瘙痒，目赤翳障，惊风抽搐，破伤风。""}"
HERB000580,苍耳子,https://ydz.chp.org.cn/#/item?bookId=1&entryId=251,UsePart,"{""UsePart"": ""果实""}"
HERB000594,草果,https://ydz.chp.org.cn/#/item?bookId=1&entryId=372,UsePart,"{""UsePart"": ""成熟果实""}"
HERB000607,草乌叶,https://ydz.chp.org.cn/#/item?bookId=1&entryId=370,UsePart|Properties,"{""UsePart"": ""叶"", ""Properties"": ""辛、涩，平；有小毒""}"
HERB000604,草乌,https://ydz.chp.org.cn/#/item?bookId=1&entryId=368,UsePart,"{""UsePart"": ""块根""}"
HERB000613,海风藤,https://ydz.chp.org.cn/#/item?bookId=1&entryId=462,Herb_latin_name|UsePart|Properties|Meridians|Function|Indication,"{""Herb_latin_name"": ""PIPERIS KADSURAE CAULIS"", ""UsePart"": ""藤茎"", ""Properties"": ""辛、苦，微温"", ""Meridians"": ""归肝经"", ""Function"": ""祛风湿，通经络，止痹痛"", ""Indication"": ""用于风寒湿痹，肢节疼痛，筋脉拘挛，屈伸不利。""}"
HERB000689,马钱子,https://ydz.chp.org.cn/#/item?bookId=1&entryId=72,Properties|Meridians|Function|Indication,"{""Properties"": ""苦，温；有大毒"", ""Meridians"": ""归肝、脾经"", ""Function"": ""通络止痛，散结消肿"", ""Indication"": ""用于跌打损伤，骨折肿痛，风湿顽痹，麻木瘫痪，痈疽疮毒，咽喉肿痛。""}"
HERB000709,巴豆,https://ydz.chp.org.cn/#/item?bookId=1&entryId=116,UsePart|Properties|Meridians|Function|Indication,"{""UsePart"": ""成熟果实"", ""Properties"": ""辛，热；有大毒"", ""Meridians"": ""归胃、大肠经"", ""Function"": ""外用蚀疮"", ""Indication"": ""用于恶疮疥癣，疣痣。""}"
HERB000742,当归,https://ydz.chp.org.cn/#/item?bookId=1&entryId=204,Herb_latin_name|UsePart|Properties|Meridians|Function|Indication,"{""Herb_latin_name"": ""ANGELICAE SINENSIS RADIX"", ""UsePart"": ""根"", ""Properties"": ""甘、辛，温"", ""Meridians"": ""归肝、心、脾经"", ""Function"": ""补血活血，调经止痛，润肠通便"", ""Indication"": ""用于血虚萎黄，眩晕心悸，月经不调，经闭痛经，虚寒腹痛，风湿痹痛，跌扑损伤，痈疽疮疡，肠燥便秘。酒当归活血通经。用于经闭痛经，风湿痹痛，跌扑损伤。""}"
HERB000767,车前草,https://ydz.chp.org.cn/#/item?bookId=1&entryId=100,UsePart,"{""UsePart"": ""全草""}"
HERB000800,赤芍,https://ydz.chp.org.cn/#/item?bookId=1&entryId=245,UsePart,"{""UsePart"": ""根""}"
HERB000822,茺蔚子,https://ydz.chp.org.cn/#/item?bookId=1&entryId=376,UsePart,"{""UsePart"": ""成熟果实""}"
HERB000818,重楼,https://ydz.chp.org.cn/#/item?bookId=1&entryId=409,Properties|Meridians,"{""Properties"": ""苦，微寒；有小毒"", ""Meridians"": ""归肝经""}"
HERB000842,楮实子,https://ydz.chp.org.cn/#/item?bookId=1&entryId=530,Herb_latin_name|UsePart|Properties|Meridians|Function|Indication,"{""Herb_latin_name"": ""BROUSSONETIAE FRUCTUS"", ""UsePart"": ""成熟果实"", ""Properties"": ""甘，寒"", ""Meridians"": ""归肝、肾经"", ""Function"": ""补肾清肝，明目，利尿"", ""Indication"": ""用于肝肾不足，腰膝酸软，虚劳骨蒸，头晕目昏，目生翳膜，水肿胀满。""}"
HERB000871,川木香,https://ydz.chp.org.cn/#/item?bookId=1&entryId=50,Properties|Meridians,"{""Properties"": ""辛、苦，温"", ""Meridians"": ""归脾、胃、大肠、胆经""}"
HERB000870,川木通,https://ydz.chp.org.cn/#/item?bookId=1&entryId=51,UsePart|Properties|Meridians,"{""UsePart"": ""藤茎"", ""Properties"": ""苦，寒"", ""Meridians"": ""归心、小肠、膀胱经""}"
HERB000877,穿山龙,https://ydz.chp.org.cn/#/item?bookId=1&entryId=422,UsePart,"{""UsePart"": ""根茎""}"
HERB000879,川射干,https://ydz.chp.org.cn/#/item?bookId=1&entryId=57,Herb_latin_name|UsePart|Properties|Meridians|Function|Indication,"{""Herb_latin_name"": ""IRIDIS TECTORI RHIZOMA"", ""UsePart"": ""根茎"", ""Properties"": ""苦，寒"", ""Meridians"": ""归肺经"", ""Function"": ""清热解毒，祛痰，利咽"", ""Indication"": ""用于热毒痰火郁结，咽喉肿痛，痰涎壅盛，咳嗽气喘。""}"
HERB000903,椿皮,https://ydz.chp.org.cn/#/item?bookId=1&entryId=562,UsePart,"{""UsePart"": ""根皮""}"
HERB000892,垂盆草,https://ydz.chp.org.cn/#/item?bookId=1&entryId=330,UsePart,"{""UsePart"": ""全草""}"
HERB000963,龙胆,https://ydz.chp.org.cn/#/item?bookId=1&entryId=140,UsePart|Properties|Meridians|Function|Indication,"{""UsePart"": ""根"", ""Properties"": ""苦，寒"", ""Meridians"": ""归肝、胆经"", ""Function"": ""清热燥湿，泻肝胆火"", ""Indication"": ""用于湿热黄疸，阴肿阴痒，带下，湿疹瘙痒，肝火目赤，耳鸣耳聋，胁痛口苦，强中，惊风抽搐。""}"
HERB001034,大腹皮,https://ydz.chp.org.cn/#/item?bookId=1&entryId=35,Herb_latin_name|UsePart|Properties|Meridians|Function,"{""Herb_latin_name"": ""ARECAE PERICARPIUM"", ""UsePart"": ""果实"", ""Properties"": ""辛，微温"", ""Meridians"": ""归脾、胃、大肠、小肠经"", ""Function"": ""行气宽中，行水消肿""}"
HERB001074,大蓟,https://ydz.chp.org.cn/#/item?bookId=1&entryId=33,UsePart|Indication,"{""UsePart"": ""地上部分"", ""Indication"": ""用于衄血，吐血，尿血，便血，崩漏，外伤出血，痈肿疮毒。""}"
