Herb_ID,Herb_cn_name,chp_status,chp_detail_url,chp_filled_fields,chp_message,dayi_status,dayi_detail_url,dayi_filled_fields,dayi_message
HERB000019,阿拉伯金合欢,not_found,,,no search results,not_found,,,no exact cmedical result in search page
HERB000014,阿根廷鼠曲草,not_found,,,no search results,not_found,,,no exact cmedical result in search page
HERB000009,阿富汗杜鹃花,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000011,阿福泽尔马钱子,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000006,阿尔泰银莲花,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000002,阿比西尼亚牛筋果,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000005,阿尔及利亚鸢尾,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000003,阿尔及利亚棉蓟,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000010,阿富汗黑麦草,not_found,,,no search results,not_found,,,no exact cmedical result in search page
HERB000018,阿拉伯胶金合欢,not_found,,,no search results,not_found,,,no exact cmedical result in search page
HERB000016,阿江榄仁,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000001,阿比西尼亚刺桐,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000040,埃及千里光,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000044,埃及种植鸢尾,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000038,埃及大翅蓟,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000039,埃及假虎刺,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000026,阿诺特花椒,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000041,埃及鼠尾草,not_found,,,no search results,not_found,,,no exact cmedical result in search page
HERB000022,阿里山五味子,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000008,阿富汗丁香,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000032,阿育魏实,not_found,,,no exact pharmacopoeia herb result,ok,https://www.dayi.org.cn/cmedical/300010.html,Herb_latin_name|UsePart|Function|Indication|Properties,
HERB000029,阿魏,skipped_no_chp_blank_fields,,,,ok,https://www.dayi.org.cn/cmedical/300008.html,,matched page but remaining dayi target columns already had values
HERB000048,埃利斯多孔菌,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000046,艾菊,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000025,阿曼苏丹没药,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000033,阿月浑子,not_found,,,no search results,ok,https://www.dayi.org.cn/cmedical/300011.html,Toxicity|Properties|Meridians,
HERB000037,埃及车轴草,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000052,埃塞俄比亚羽扇豆,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000004,阿尔及利亚补血草,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000065,矮向日葵,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000062,矮桐子,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000007,阿尔泰紫菀,not_found,,,no exact pharmacopoeia herb result,ok,https://www.dayi.org.cn/cmedical/300004.html,Properties,
HERB000036,矮地茶,ok,https://ydz.chp.org.cn/#/item?bookId=1&entryId=573,UsePart,,ok,https://www.dayi.org.cn/cmedical/1113483.html,,matched page but remaining dayi target columns already had values
HERB000021,阿里红,not_found,,,no exact pharmacopoeia herb result,ok,https://www.dayi.org.cn/cmedical/300005.html,Properties,
HERB000035,矮大黄,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000072,安哥拉八角枫,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000071,安哥拉八角枫,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000020,阿拉伯婆婆纳,not_found,,,no exact pharmacopoeia herb result,no_fields,https://www.dayi.org.cn/cmedical/1156031.html,,detail page parsed but no mapped fields found
HERB000063,爱娃筋骨草,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000066,艾叶,skipped_no_chp_blank_fields,,,,ok,https://www.dayi.org.cn/cmedical/300037.html,Toxicity,
HERB000049,艾麻黄,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000068,矮紫金牛,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000082,安徽松木,not_found,,,no search results,not_found,,,no exact cmedical result in search page
HERB000078,暗红委陵菜,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000074,安哥拉紫檀,not_found,,,no search results,not_found,,,no exact cmedical result in search page
HERB000073,安哥拉黄瓜,not_found,,,no search results,not_found,,,no exact cmedical result in search page
HERB000083,安徽银莲花,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000095,暗棕炭团菌,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000080,安徽贝母,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000067,艾叶黄芩,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000101,奥地利鳞毛蕨,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000096,澳大利亚红豆杉,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000085,龙舌兰,not_found,,,no search results,no_fields,https://www.dayi.org.cn/cmedical/301901.html,,detail page parsed but no mapped fields found
HERB000098,澳大利亚桑,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000115,奥托肉豆蔻,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000092,按油,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
HERB000086,安罗,not_found,,,no exact pharmacopoeia herb result,not_found,,,no exact cmedical result in search page
