Herb_ID,Herb_cn_name,status,detail_url,reason
HERB000001,阿比西尼亚刺桐,not_found,,no exact cmedical result in search page
HERB000002,阿比西尼亚牛筋果,not_found,,no exact cmedical result in search page
HERB000003,阿尔及利亚棉蓟,not_found,,no exact cmedical result in search page
HERB000004,阿尔及利亚补血草,not_found,,no exact cmedical result in search page
HERB000008,阿富汗丁香,not_found,,no exact cmedical result in search page
HERB000006,阿尔泰银莲花,not_found,,no exact cmedical result in search page
HERB000009,阿富汗杜鹃花,not_found,,no exact cmedical result in search page
HERB000010,阿富汗黑麦草,not_found,,no exact cmedical result in search page
HERB000011,阿福泽尔马钱子,not_found,,no exact cmedical result in search page
HERB000016,阿江榄仁,not_found,,no exact cmedical result in search page
HERB000014,阿根廷鼠曲草,not_found,,no exact cmedical result in search page
HERB000019,阿拉伯金合欢,not_found,,no exact cmedical result in search page
HERB000005,阿尔及利亚鸢尾,not_found,,no exact cmedical result in search page
HERB000018,阿拉伯胶金合欢,not_found,,no exact cmedical result in search page
HERB000022,阿里山五味子,not_found,,no exact cmedical result in search page
HERB000020,阿拉伯婆婆纳,no_fields,https://www.dayi.org.cn/cmedical/1156031.html,detail page parsed but no mapped fields found
HERB000025,阿曼苏丹没药,not_found,,no exact cmedical result in search page
HERB000026,阿诺特花椒,not_found,,no exact cmedical result in search page
HERB000035,矮大黄,not_found,,no exact cmedical result in search page
HERB000029,阿魏,ok_no_empty_fields,https://www.dayi.org.cn/cmedical/300008.html,matched page but target columns already had values
HERB000037,埃及车轴草,not_found,,no exact cmedical result in search page
HERB000038,埃及大翅蓟,not_found,,no exact cmedical result in search page
HERB000039,埃及假虎刺,not_found,,no exact cmedical result in search page
HERB000040,埃及千里光,not_found,,no exact cmedical result in search page
HERB000044,埃及种植鸢尾,not_found,,no exact cmedical result in search page
HERB000041,埃及鼠尾草,not_found,,no exact cmedical result in search page
HERB000046,艾菊,not_found,,no exact cmedical result in search page
HERB000048,埃利斯多孔菌,not_found,,no exact cmedical result in search page
HERB000049,艾麻黄,not_found,,no exact cmedical result in search page
HERB000052,埃塞俄比亚羽扇豆,not_found,,no exact cmedical result in search page
HERB000063,爱娃筋骨草,not_found,,no exact cmedical result in search page
HERB000062,矮桐子,not_found,,no exact cmedical result in search page
HERB000065,矮向日葵,not_found,,no exact cmedical result in search page
HERB000067,艾叶黄芩,not_found,,no exact cmedical result in search page
HERB000071,安哥拉八角枫,not_found,,no exact cmedical result in search page
HERB000068,矮紫金牛,not_found,,no exact cmedical result in search page
HERB000072,安哥拉八角枫,not_found,,no exact cmedical result in search page
HERB000074,安哥拉紫檀,not_found,,no exact cmedical result in search page
HERB000083,安徽银莲花,not_found,,no exact cmedical result in search page
HERB000078,暗红委陵菜,not_found,,no exact cmedical result in search page
HERB000082,安徽松木,not_found,,no exact cmedical result in search page
HERB000073,安哥拉黄瓜,not_found,,no exact cmedical result in search page
HERB000080,安徽贝母,not_found,,no exact cmedical result in search page
HERB000084,氨基比林,not_found,,no exact cmedical result in search page
HERB000088,安乃近,not_found,,no exact cmedical result in search page
HERB000085,龙舌兰,no_fields,https://www.dayi.org.cn/cmedical/301901.html,detail page parsed but no mapped fields found
HERB000086,安罗,not_found,,no exact cmedical result in search page
HERB000091,按叶,not_found,,no exact cmedical result in search page
HERB000092,按油,not_found,,no exact cmedical result in search page
HERB000090,安息香,no_fields,https://www.dayi.org.cn/cmedical/1113500.html,detail page parsed but no mapped fields found
HERB000097,澳大利亚千金藤,not_found,,no exact cmedical result in search page
HERB000095,暗棕炭团菌,not_found,,no exact cmedical result in search page
HERB000096,澳大利亚红豆杉,not_found,,no exact cmedical result in search page
HERB000098,澳大利亚桑,not_found,,no exact cmedical result in search page
HERB000107,凹脉丁公藤,not_found,,no exact cmedical result in search page
HERB000101,奥地利鳞毛蕨,not_found,,no exact cmedical result in search page
HERB000109,凹舌兰,not_found,,no exact cmedical result in search page
HERB000117,凹叶厚朴,not_found,,no exact cmedical result in search page
HERB000115,奥托肉豆蔻,not_found,,no exact cmedical result in search page
HERB000118,凹叶瑞香,not_found,,no exact cmedical result in search page
HERB000120,澳洲百脉根,not_found,,no exact cmedical result in search page
HERB000119,凹叶野百合,not_found,,no exact cmedical result in search page
HERB000121,澳洲坚果,not_found,,no exact cmedical result in search page
HERB000114,凹头苋,no_fields,https://www.dayi.org.cn/cmedical/300057.html,detail page parsed but no mapped fields found
HERB000122,澳洲茄,not_found,,no exact cmedical result in search page
HERB000124,澳洲屎豆,not_found,,no exact cmedical result in search page
HERB000123,澳洲商陆,not_found,,no exact cmedical result in search page
HERB000131,巴伐利亚龙胆,not_found,,no exact cmedical result in search page
HERB000133,巴戟,not_found,,no exact cmedical result in search page
HERB000128,巴旦杏仁,no_fields,https://www.dayi.org.cn/cmedical/300077.html,detail page parsed but no mapped fields found
HERB000136,八角黄皮,not_found,,no exact cmedical result in search page
HERB000138,八角茴香油,not_found,,no exact cmedical result in search page
HERB000140,巴拉圭茶,not_found,,no exact cmedical result in search page
HERB000141,巴拿马合欢,not_found,,no exact cmedical result in search page
HERB000139,八角莲,no_fields,https://www.dayi.org.cn/cmedical/300068.html,detail page parsed but no mapped fields found
HERB000142,巴拿马山石榴,not_found,,no exact cmedical result in search page
HERB000147,巴西萝芙木,not_found,,no exact cmedical result in search page
HERB000148,巴西马兜铃,not_found,,no exact cmedical result in search page
HERB000149,巴西千里光,not_found,,no exact cmedical result in search page
HERB000152,巴西香无患子,not_found,,no exact cmedical result in search page
HERB000150,巴西千里光,not_found,,no exact cmedical result in search page
HERB000155,巴夏嘎,not_found,,no exact cmedical result in search page
HERB000153,巴西页岩,not_found,,no exact cmedical result in search page
HERB000158,八月扎,not_found,,no exact cmedical result in search page
HERB000163,白草霜,not_found,,no exact cmedical result in search page
HERB000162,百部,ok_no_empty_fields,https://www.dayi.org.cn/cmedical/1155631.html,matched page but target columns already had values
HERB000164,白鲳,not_found,,no exact cmedical result in search page
