Herb_ID,Herb_cn_name,detail_url,filled_fields,filled_values
HERB000007,阿尔泰紫菀,https://www.dayi.org.cn/cmedical/300004.html,Properties,"{""Properties"": ""味微苦，性凉""}"
HERB000021,阿里红,https://www.dayi.org.cn/cmedical/300005.html,Properties,"{""Properties"": ""味甘、苦，性温""}"
HERB000032,阿育魏实,https://www.dayi.org.cn/cmedical/300010.html,Herb_latin_name|UsePart|Function|Indication|Properties,"{""Herb_latin_name"": ""Trachyspermum ammi(L.) Sprague"", ""UsePart"": ""果实"", ""Function"": ""散寒止痛，利湿解毒。"", ""Indication"": ""脘腹冷痛，消化不良，呕恶，泄泻，寒疝，痛经，尿路结石，疮疖肿毒。"", ""Properties"": ""味辛、苦，性温""}"
HERB000033,阿月浑子,https://www.dayi.org.cn/cmedical/300011.html,Toxicity|Properties|Meridians,"{""Toxicity"": ""无毒"", ""Properties"": ""味辛、涩，性温"", ""Meridians"": ""归脾、肾经""}"
HERB000036,矮地茶,https://www.dayi.org.cn/cmedical/1113483.html,UsePart,"{""UsePart"": ""全草""}"
HERB000050,艾纳香,https://www.dayi.org.cn/cmedical/300034.html,Properties,"{""Properties"": ""味辛、微苦，性温""}"
HERB000057,艾实,https://www.dayi.org.cn/cmedical/300036.html,UsePart|Function|Indication|Properties|Meridians,"{""UsePart"": ""果实"", ""Function"": ""温肾壮阳。"", ""Indication"": ""主治肾虚腰酸，阳虚内寒等。"", ""Properties"": ""味苦、辛，性温"", ""Meridians"": ""归肝、肾经""}"
HERB000066,艾叶,https://www.dayi.org.cn/cmedical/300037.html,Toxicity,"{""Toxicity"": ""有小毒""}"
HERB000093,暗紫贝母,https://www.dayi.org.cn/cmedical/300053.html,Properties|Meridians,"{""Properties"": ""味苦、甘，性微寒，"", ""Meridians"": ""归肺、心经""}"
HERB000134,巴戟天,https://www.dayi.org.cn/cmedical/1144878.html,Herb_latin_name|Function|Properties|Meridians,"{""Herb_latin_name"": ""Morindae Officinalis Radix"", ""Function"": ""补肾阳，强筋骨，祛风湿。"", ""Properties"": ""味甘、辛，性微温，"", ""Meridians"": ""归肾、肝经""}"
HERB000132,白鲜皮,https://www.dayi.org.cn/cmedical/300133.html,Properties|Meridians,"{""Properties"": ""性寒，味苦，"", ""Meridians"": ""归脾、胃、膀胱经""}"
HERB000137,八角茴香,https://www.dayi.org.cn/cmedical/300066.html,UsePart,"{""UsePart"": ""果实""}"
HERB000135,八角枫,https://www.dayi.org.cn/cmedical/300062.html,Toxicity|Properties,"{""Toxicity"": ""小毒"", ""Properties"": ""辛、苦，温。归肝、肾、心经。""}"
HERB000143,菝葜,https://www.dayi.org.cn/cmedical/300090.html,Herb_latin_name|Toxicity|UsePart|Function|Properties|Meridians,"{""Herb_latin_name"": ""Smilacis Chinae Rhizoma"", ""Toxicity"": ""无毒"", ""UsePart"": ""根茎"", ""Function"": ""利湿去浊，祛风除痹，解毒散瘀。"", ""Properties"": ""味甘、微苦、涩，性平，"", ""Meridians"": ""归肝、肾经""}"
HERB000144,霸王鞭,https://www.dayi.org.cn/cmedical/1124361.html,Toxicity|Properties,"{""Toxicity"": ""有毒"", ""Properties"": ""味涩，性寒""}"
HERB000156,八仙草,https://www.dayi.org.cn/cmedical/1113743.html,Properties,"{""Properties"": ""味辛、微苦，性微寒""}"
HERB000157,八仙花,https://www.dayi.org.cn/cmedical/1113741.html,Toxicity|Properties|Meridians,"{""Toxicity"": ""有小毒"", ""Properties"": ""味苦、微辛，性寒"", ""Meridians"": ""归肝、肺经""}"
