TCM_symptom_id,TCM_symptom_name,status,updated,message
35,闭合性新旧软组织损伤,ok,yes,
31,鼻咽部慢性炎症,ok,yes,
79,产后乳肿,ok,yes,
82,产后小腹疼痛,ok,yes,
76,产后流血,ok,yes,
53,病后体弱,ok,yes,
77,产后乳房结块,ok,yes,
55,病后虚弱,ok,yes,
54,病后脱发,ok,yes,
73,产后出血日久,ok,yes,
69,嘈杂呕吐,ok,yes,
78,产后乳汁不通,ok,yes,
83,产后血虚,ok,yes,
85,产后瘀痛,ok,yes,
86,产后诸虚,ok,yes,
94,陈旧性伤痛,ok,yes,
95,晨起面肿,ok,yes,
96,齿鼻衄血,ok,yes,
100,赤白下痢,ok,yes,
102,赤缕红斑,ok,yes,
104,虫咬肿痛,ok,yes,
112,喘促痰多,ok,yes,
106,抽搐神昏,ok,yes,
111,喘促气逆,ok,yes,
119,疮疖痈肿,ok,yes,
120,疮疖肿毒,ok,yes,
122,疮口久不愈合,ok,yes,
123,疮面久溃不敛,ok,yes,
121,疮疖肿痛,ok,yes,
124,疮面疼痛,ok,yes,
125,疮面鲜活,ok,yes,
126,疮色鲜活,ok,yes,
127,疮癣,ok,yes,
129,疮疡不敛,ok,yes,
130,疮疡久溃不敛,ok,yes,
132,疮疡肿痛,ok,yes,
131,疮疡溃烂,ok,yes,
135,创伤出血,ok,yes,
133,疮痈肿痛,ok,yes,
137,唇甲出血,ok,yes,
142,挫伤筋骨,ok,yes,
140,猝然昏倒,ok,yes,
143,大便不畅,ok,yes,
144,大便不利,ok,yes,
145,大便不爽,ok,yes,
146,大便不调,ok,yes,
148,大便不下,ok,yes,
149,大便臭秽,ok,yes,
152,大便干,ok,yes,
153,大便干结,ok,yes,
151,大便次数增多,ok,yes,
154,大便干结难下,ok,yes,
159,大便黏滞不爽,ok,yes,
158,大便黏滞,ok,yes,
160,大便脓血,ok,yes,
161,大便清稀,ok,yes,
162,大便失调,ok,yes,
164,大便溏雹,ok,yes,
166,大便溏软,ok,yes,
165,大便溏薄,ok,yes,
168,大便稀薄如水样,ok,yes,
167,大便溏泻,ok,yes,
169,大便稀溏,ok,yes,
170,大便泄泻,ok,yes,
173,带下白浊,ok,yes,
175,带下量多,ok,yes,
176,带下色黄,ok,yes,
177,带下色黄质稠,ok,yes,
182,倒饱嘈杂,ok,yes,
188,癫痫痰多,ok,yes,
189,癲痫,ok,yes,
190,跌打伤痛,ok,yes,
192,跌打瘀痛,ok,yes,
193,跌打肿痛,ok,yes,
195,跌扑瘀肿,ok,yes,
194,跌扑伤痛,ok,yes,
196,跌扑肿痛,ok,yes,
197,疔疮痈肿初起,ok,yes,
198,疔疮肿痛,ok,yes,
201,动辄汗出,ok,yes,
202,毒虫咬伤,ok,yes,
205,毒邪未尽,ok,yes,
209,多泪,ok,yes,
210,多泪羞明,ok,yes,
220,恶寒重,ok,yes,
221,恶寒壮热,ok,yes,
218,恶风寒,ok,yes,
230,发斑,ok,yes,
228,耳下肿痛,ok,yes,
232,发僵,ok,yes,
235,发热重,ok,yes,
239,发疹,ok,yes,
241,烦倦,ok,yes,
246,烦躁不宁,ok,yes,
247,烦躁不适,ok,yes,
248,烦躁易怒,ok,yes,
249,烦躁谵语,ok,yes,
255,肺气不畅,ok,yes,
260,痱疹鲜红,ok,yes,
266,风湿痹痛,ok,yes,
262,粉剌疙瘩,ok,yes,
268,风湿疼痛,ok,yes,
267,风湿关节痛,ok,yes,
269,风湿瘀痛,ok,yes,
270,风湿肢体关节痿软,ok,yes,
273,风痰瘀血痹阻脉络,ok,yes,
275,风眼烂弦,ok,yes,
276,风疹发红,ok,yes,
279,腐肉不去,ok,yes,
280,妇女痛经,ok,yes,
281,妇女癥瘕,ok,yes,
282,腹暴痛,ok,yes,
284,腹部隐痛,ok,yes,
285,腹部胀满,ok,yes,
286,腹部胀满不舒,ok,yes,
289,腹痛绵绵,ok,yes,
293,腹胀满,ok,yes,
291,腹有癥块,ok,yes,
294,腹中冷痛,ok,yes,
295,腹中胀满,ok,yes,
297,肝火目赤,ok,yes,
299,肝区胀痛,ok,yes,
300,肝热目赤,ok,yes,
301,肝痛,ok,yes,
308,干泾不舒,ok,yes,
311,肛窦炎出血,ok,yes,
316,肛门灼热,ok,yes,
320,高热神昏,ok,yes,
323,髙热,ok,yes,
321,高血压头痛,ok,yes,
324,髙热不退,ok,yes,
325,睾丸偏坠,ok,yes,
327,睾丸肿,ok,yes,
328,睾丸坠胀疼痛,ok,yes,
331,咯痰不爽,ok,yes,
330,咯痰、血,ok,yes,
332,咯痰黄稠,ok,yes,
333,咯痰色白,ok,yes,
334,咯痰色黄,ok,yes,
335,咯痰稀白,ok,yes,
336,咯吐白痰,ok,yes,
339,各种中毒症,ok,yes,
343,骨关节疼痛,ok,yes,
344,骨关节肿大,ok,yes,
345,骨节酸痛,ok,yes,
346,骨节疼痛,ok,yes,
347,骨扭伤,ok,yes,
349,骨折肿痛,ok,yes,
350,骨蒸劳热,ok,yes,
354,关节痹痛,ok,yes,
352,骨肿大,ok,yes,
355,关节不利,ok,yes,
356,关节刺痛,ok,yes,
357,关节钝痛,ok,yes,
358,关节红肿热痛,ok,yes,
360,关节剧痛,ok,yes,
361,关节冷痛,ok,yes,
362,关节麻木,ok,yes,
364,关节屈伸不利,ok,yes,
365,关节四肢疼痛,ok,yes,
367,关节酸痛麻木,ok,yes,
369,关节疼痈,ok,yes,
373,关节肿胀疼痛,ok,yes,
374,寒热头痛,ok,yes,
377,寒湿痹痛,ok,yes,
380,汗出,ok,yes,
379,寒性腹泻,ok,yes,
381,汗出不畅,ok,yes,
382,汗出不解,ok,yes,
383,汗少,ok,yes,
384,行步艰难,ok,yes,
385,行经腹痛,ok,yes,
386,行经小腹冷痛,ok,yes,
387,行走无力,ok,yes,
