TCM_symptom_id,TCM_symptom_name,first_source,first_status,first_detail_url,first_message,second_source,second_status,second_detail_url,second_message,updated,updated_source
64,不育,duguji,ok,https://baike.duguji.cn/baike/w/%E4%B8%8D%E8%82%B2,,,skipped_first_source_success,,,yes,duguji
31,鼻咽部慢性炎症,duguji,not_found,https://baike.duguji.cn/baike/w/%E9%BC%BB%E5%92%BD%E9%83%A8%E6%85%A2%E6%80%A7%E7%82%8E%E7%97%87,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
55,病后虚弱,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%97%85%E5%90%8E%E8%99%9A%E5%BC%B1,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
69,嘈杂呕吐,duguji,not_found,https://baike.duguji.cn/baike/w/%E5%98%88%E6%9D%82%E5%91%95%E5%90%90,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
81,产后脱发,duguji,ok,https://baike.duguji.cn/baike/w/%E4%BA%A7%E5%90%8E%E8%84%B1%E5%8F%91,,,skipped_first_source_success,,,yes,duguji
73,产后出血日久,duguji,not_found,https://baike.duguji.cn/baike/w/%E4%BA%A7%E5%90%8E%E5%87%BA%E8%A1%80%E6%97%A5%E4%B9%85,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
54,病后脱发,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%97%85%E5%90%8E%E8%84%B1%E5%8F%91,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
35,闭合性新旧软组织损伤,duguji,not_found,https://baike.duguji.cn/baike/w/%E9%97%AD%E5%90%88%E6%80%A7%E6%96%B0%E6%97%A7%E8%BD%AF%E7%BB%84%E7%BB%87%E6%8D%9F%E4%BC%A4,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
77,产后乳房结块,duguji,not_found,https://baike.duguji.cn/baike/w/%E4%BA%A7%E5%90%8E%E4%B9%B3%E6%88%BF%E7%BB%93%E5%9D%97,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
76,产后流血,duguji,not_found,https://baike.duguji.cn/baike/w/%E4%BA%A7%E5%90%8E%E6%B5%81%E8%A1%80,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
53,病后体弱,duguji,not_found,https://baike.duguji.cn/baike/w/%E7%97%85%E5%90%8E%E4%BD%93%E5%BC%B1,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
89,肠风下血,duguji,ok,https://baike.duguji.cn/baike/w/%E8%82%A0%E9%A3%8E%E4%B8%8B%E8%A1%80,,,skipped_first_source_success,,,yes,duguji
90,肠功能紊乱,duguji,ok,https://baike.duguji.cn/baike/w/%E8%82%A0%E5%8A%9F%E8%83%BD%E7%B4%8A%E4%B9%B1,,,skipped_first_source_success,,,yes,duguji
78,产后乳汁不通,duguji,not_found,https://baike.duguji.cn/baike/w/%E4%BA%A7%E5%90%8E%E4%B9%B3%E6%B1%81%E4%B8%8D%E9%80%9A,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
98,齿龈肿痛,duguji,ok,https://baike.duguji.cn/baike/w/%E9%BD%BF%E9%BE%88%E8%82%BF%E7%97%9B,,,skipped_first_source_success,,,yes,duguji
79,产后乳肿,duguji,not_found,https://baike.duguji.cn/baike/w/%E4%BA%A7%E5%90%8E%E4%B9%B3%E8%82%BF,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
85,产后瘀痛,duguji,not_found,https://baike.duguji.cn/baike/w/%E4%BA%A7%E5%90%8E%E7%98%80%E7%97%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
103,虫毒,duguji,ok,https://baike.duguji.cn/baike/w/%E8%99%AB%E6%AF%92,,,skipped_first_source_success,,,yes,duguji
82,产后小腹疼痛,duguji,not_found,https://baike.duguji.cn/baike/w/%E4%BA%A7%E5%90%8E%E5%B0%8F%E8%85%B9%E7%96%BC%E7%97%9B,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
86,产后诸虚,duguji,not_found,https://baike.duguji.cn/baike/w/%E4%BA%A7%E5%90%8E%E8%AF%B8%E8%99%9A,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
110,喘促,duguji,ok,https://baike.duguji.cn/baike/w/%E5%96%98%E4%BF%83,,,skipped_first_source_success,,,yes,duguji
83,产后血虚,duguji,not_found,https://baike.duguji.cn/baike/w/%E4%BA%A7%E5%90%8E%E8%A1%80%E8%99%9A,HTTP 404: page does not exist,dayi,not_found,,no exact symptom result in search page,no,
