Target_id,Gene_symbol,Gene_alias_name,Protein_name,Type_of_gene,TTD_target_type,Organism,Taxonomy_id ,Map_location,Chromosome,Entrez_id,OMIM_id,HGNC_id,Ensembl_id,MGI_id,TTD_id
HBTAR000001,A1BG,A1B; ABG; GAB; HYST2477,alpha-1-B glycoprotein,protein-coding,NA,Homo sapiens,9606,19q13.43,19,1,138670,5,ENSG00000121410,NA,NA
HBTAR000002,A2M,A2MD; CPAMD5; FWP007; S863-7,alpha-2-macroglobulin,protein-coding,NA,Homo sapiens,9606,12p13.31,12,2,103950,7,ENSG00000175899,NA,NA
HBTAR000003,NAT1,AAC1; MNAT; NAT-1; NATI,N-acetyltransferase 1,protein-coding,NA,Homo sapiens,9606,8p22,8,9,108345,7645,ENSG00000171428,NA,NA
HBTAR000004,NAT2,AAC2; NAT-2; PNAT,N-acetyltransferase 2,protein-coding,NA,Homo sapiens,9606,8p22,8,10,612182,7646,ENSG00000156006,NA,NA
HBTAR000005,SERPINA3,AACT; ACT; GIG24; GIG25,serpin family A member 3,protein-coding,NA,Homo sapiens,9606,14q32.13,14,12,107280,16,ENSG00000196136,NA,NA
HBTAR000006,AADAC,CES5A1; DAC,arylacetamide deacetylase,protein-coding,NA,Homo sapiens,9606,3q25.1,3,13,600338,17,ENSG00000114771,NA,NA
HBTAR000007,AAMP,NA,angio associated migratory cell protein,protein-coding,NA,Homo sapiens,9606,2q35,2,14,603488,18,ENSG00000127837,NA,NA
HBTAR000008,AANAT,DSPS; SNAT,aralkylamine N-acetyltransferase,protein-coding,NA,Homo sapiens,9606,17q25.1,17,15,600950,19,ENSG00000129673,NA,NA
HBTAR000009,AARS1,AARS; CMT2N; EIEE29,alanyl-tRNA synthetase 1,protein-coding,NA,Homo sapiens,9606,16q22.1,16,16,601065,20,ENSG00000090861,NA,NA
HBTAR000010,ABAT,GABA-AT; GABAT; NPD009,4-aminobutyrate aminotransferase,protein-coding,Successful target,Homo sapiens,9606,16p13.2,16,18,137150,23,ENSG00000183044,NA,T59045
HBTAR000011,ABCA1,ABC-1; ABC1; CERP; HDLCQTL13; HDLDT1; HPALP1; TGD,ATP binding cassette subfamily A member 1,protein-coding,Successful target,Homo sapiens,9606,9q31.1,9,19,600046,29,ENSG00000165029,NA,T00494
HBTAR000012,ABCA2,ABC2; IDPOGSA,ATP binding cassette subfamily A member 2,protein-coding,NA,Homo sapiens,9606,9q34.3,9,20,600047,32,ENSG00000107331,NA,NA
HBTAR000013,ABCA3,ABC-C; ABC3; EST111653; LBM180; SMDP3,ATP binding cassette subfamily A member 3,protein-coding,NA,Homo sapiens,9606,16p13.3,16,21,601615,33,ENSG00000167972,NA,NA
HBTAR000014,ABCB7,ABC7; ASAT; Atm1p; EST140535,ATP binding cassette subfamily B member 7,protein-coding,NA,Homo sapiens,9606,Xq13.3,X,22,300135,48,ENSG00000131269,NA,NA
HBTAR000015,ABCF1,ABC27; ABC50,ATP binding cassette subfamily F member 1,protein-coding,NA,Homo sapiens,9606,6p21.33,6,23,603429,70,ENSG00000204574,NA,NA
HBTAR000016,ABCA4,ABC10; ABCR; ARMD2; CORD3; FFM; RMP; RP19; STGD; STGD1,ATP binding cassette subfamily A member 4,protein-coding,Clinical Trial target,Homo sapiens,9606,1p22.1,1,24,601691,34,ENSG00000198691,NA,T49327
HBTAR000017,ABL1,ABL; BCR-ABL; CHDSKM; JTK7; bcr/abl; c-ABL; c-ABL1; p150; v-abl,"ABL proto-oncogene 1, non-receptor tyrosine kinase",protein-coding,Discontinued target,Homo sapiens,9606,9q34.12,9,25,189980,76,ENSG00000097007,NA,T89747
HBTAR000018,ABL2,ABLL; ARG,"ABL proto-oncogene 2, non-receptor tyrosine kinase",protein-coding,Research target,Homo sapiens,9606,1q25.2,1,27,164690,77,ENSG00000143322,NA,T83009
HBTAR000019,ABR,MDB,ABR activator of RhoGEF and GTPase,protein-coding,NA,Homo sapiens,9606,17p13.3,17,29,600365,81,ENSG00000159842,NA,NA
HBTAR000020,ACAA1,ACAA; PTHIO; THIO,acetyl-CoA acyltransferase 1,protein-coding,NA,Homo sapiens,9606,3p22.2,3,30,604054,82,ENSG00000060971,NA,NA
HBTAR000021,ACACA,ACAC; ACACAD; ACC; ACC1; ACCA,acetyl-CoA carboxylase alpha,protein-coding,NA,Homo sapiens,9606,17q12,17,31,200350,84,ENSG00000278540,NA,NA
HBTAR000022,ACACB,ACC2; ACCB; HACC275,acetyl-CoA carboxylase beta,protein-coding,Successful target,Homo sapiens,9606,12q24.11,12,32,601557,85,ENSG00000076555,NA,T08922
HBTAR000023,ACADM,ACAD1; MCAD; MCADH,acyl-CoA dehydrogenase medium chain,protein-coding,NA,Homo sapiens,9606,1p31.1,1,34,607008,89,ENSG00000117054,NA,NA
HBTAR000024,ACADS,ACAD3; SCAD,acyl-CoA dehydrogenase short chain,protein-coding,NA,Homo sapiens,9606,12q24.31,12,35,606885,90,ENSG00000122971,NA,NA
HBTAR000025,ACADSB,2-MEBCAD; ACAD7; SBCAD,acyl-CoA dehydrogenase short/branched chain,protein-coding,NA,Homo sapiens,9606,10q26.13,10,36,600301,91,ENSG00000196177,NA,NA
HBTAR000026,ACADVL,ACAD6; LCACD; VLCAD,acyl-CoA dehydrogenase very long chain,protein-coding,NA,Homo sapiens,9606,17p13.1,17,37,609575,92,ENSG00000072778,NA,NA
HBTAR000027,ACAT1,ACAT; MAT; T2; THIL,acetyl-CoA acetyltransferase 1,protein-coding,Clinical Trial target,Homo sapiens,9606,11q22.3,11,38,607809,93,ENSG00000075239,NA,T11487
HBTAR000028,ACAT2,NA,acetyl-CoA acetyltransferase 2,protein-coding,NA,Homo sapiens,9606,6q25.3,6,39,100678,94,ENSG00000120437,NA,NA
HBTAR000029,ASIC2,ACCN; ACCN1; ASIC2a; BNC1; BNaC1; MDEG; hBNaC1,acid sensing ion channel subunit 2,protein-coding,Research target,Homo sapiens,9606,17q11.2-q12,17,40,601784,99,ENSG00000108684,NA,T86541
HBTAR000030,ASIC1,ACCN2; ASIC; BNaC2,acid sensing ion channel subunit 1,protein-coding,Successful target,Homo sapiens,9606,12q13.12,12,41,602866,100,ENSG00000110881,NA,T55094
HBTAR000031,ACHE,ACEE; ARACHE; N-ACHE; YT,acetylcholinesterase (Cartwright blood group),protein-coding,Successful target,Homo sapiens,9606,7q22.1,7,43,100740,108,ENSG00000087085,NA,T30082
HBTAR000032,ACLY,ACL; ATPCL; CLATP,ATP citrate lyase,protein-coding,Research target,Homo sapiens,9606,17q21.2,17,47,108728,115,ENSG00000131473,NA,T52189
HBTAR000033,ACO1,ACONS; HEL60; IREB1; IREBP; IREBP1; IRP1,aconitase 1,protein-coding,NA,Homo sapiens,9606,9p21.1,9,48,100880,117,ENSG00000122729,NA,NA
HBTAR000034,ACR,NA,acrosin,protein-coding,Research target,Homo sapiens,9606,22q13.33,22,49,102480,126,ENSG00000100312,NA,T24595
HBTAR000035,ACO2,ACONM; HEL-S-284; ICRD; OCA8; OPA9,aconitase 2,protein-coding,Research target,Homo sapiens,9606,22q13.2,22,50,100850,118,ENSG00000100412,NA,T12627
HBTAR000036,ACOX1,ACOX; PALMCOX; SCOX,acyl-CoA oxidase 1,protein-coding,NA,Homo sapiens,9606,17q25.1,17,51,609751,119,ENSG00000161533,NA,NA
HBTAR000037,ACP1,HAAP; LMW-PTP; LMWPTP,acid phosphatase 1,protein-coding,NA,Homo sapiens,9606,2p25.3,2,52,171500,122,ENSG00000143727,NA,NA
HBTAR000038,ACP2,LAP,"acid phosphatase 2, lysosomal",protein-coding,NA,Homo sapiens,9606,11p11.2|11p12-p11,11,53,171650,123,ENSG00000134575,NA,NA
HBTAR000039,ACP5,HPAP; TRACP5a; TRACP5b; TRAP; TrATPase,"acid phosphatase 5, tartrate resistant",protein-coding,NA,Homo sapiens,9606,19p13.2,19,54,171640,124,ENSG00000102575,NA,NA
HBTAR000040,ACP3,5'-NT; ACP-3; ACPP; TM-PAP,acid phosphatase 3,protein-coding,NA,Homo sapiens,9606,3q22.1,3,55,171790,125,ENSG00000014257,NA,NA
HBTAR000041,ACTA1,ACTA; ASMA; CFTD; CFTD1; CFTDM; MPFD; NEM1; NEM2; NEM3; SHPM,"actin alpha 1, skeletal muscle",protein-coding,NA,Homo sapiens,9606,1q42.13,1,58,102610,129,ENSG00000143632,NA,NA
HBTAR000042,ACTA2,ACTSA,"actin alpha 2, smooth muscle",protein-coding,NA,Homo sapiens,9606,10q23.31,10,59,102620,130,ENSG00000107796,NA,NA
HBTAR000043,ACTB,BRWS1; PS1TP5BP1,actin beta,protein-coding,NA,Homo sapiens,9606,7p22.1,7,60,102630,132,ENSG00000075624,NA,NA
HBTAR000044,ACTC1,ACTC; ASD5; CMD1R; CMH11; LVNC4,actin alpha cardiac muscle 1,protein-coding,NA,Homo sapiens,9606,15q14,15,70,102540,143,ENSG00000159251,NA,NA
HBTAR000045,ACTG1,ACT; ACTG; DFNA20; DFNA26; HEL-176,actin gamma 1,protein-coding,Research target,Homo sapiens,9606,17q25.3,17,71,102560,144,ENSG00000184009,NA,T27457
HBTAR000046,ACTG2,ACT; ACTA3; ACTE; ACTL3; ACTSG; VSCM,"actin gamma 2, smooth muscle",protein-coding,NA,Homo sapiens,9606,2p13.1,2,72,102545,145,ENSG00000163017,NA,NA
HBTAR000047,ACTN4,ACTININ-4; FSGS; FSGS1,actinin alpha 4,protein-coding,NA,Homo sapiens,9606,19q13.2,19,81,604638,166,ENSG00000130402,NA,NA
HBTAR000048,ACTL6A,ACTL6; ARPN-BETA; Arp4; BAF53A; INO80K,actin like 6A,protein-coding,NA,Homo sapiens,9606,3q26.33,3,86,604958,24124,ENSG00000136518,NA,NA
HBTAR000049,ACTN1,BDPLT15,actinin alpha 1,protein-coding,NA,Homo sapiens,9606,14q24.1|14q22-q24,14,87,102575,163,ENSG00000072110,NA,NA
HBTAR000050,ACTN2,CMD1AA; CMH23; MPD6; MYOCOZ,actinin alpha 2,protein-coding,NA,Homo sapiens,9606,1q43,1,88,102573,164,ENSG00000077522,NA,NA
HBTAR000051,ACVR1,ACTRI; ACVR1A; ACVRLK2; ALK2; FOP; SKR1; TSRI,activin A receptor type 1,protein-coding,Patented target,Homo sapiens,9606,2q24.1,2,90,102576,171,ENSG00000115170,NA,T12091
HBTAR000052,ACVR2A,ACTRII; ACVR2,activin A receptor type 2A,protein-coding,Clinical Trial target,Homo sapiens,9606,2q22.3-q23.1,2,92,102581,173,ENSG00000121989,NA,T47366
HBTAR000053,ACVR2B,ACTRIIB; ActR-IIB; HTX4,activin A receptor type 2B,protein-coding,Research target,Homo sapiens,9606,3p22.2,3,93,602730,174,ENSG00000114739,NA,T80338
HBTAR000054,ACVRL1,ACVRLK1; ALK-1; ALK1; HHT; HHT2; ORW2; SKR3; TSR-I,activin A receptor like type 1,protein-coding,Clinical Trial target,Homo sapiens,9606,12q13.13,12,94,601284,175,ENSG00000139567,NA,T36959
HBTAR000055,ACY1,ACY-1; ACY1D; HEL-S-5,aminoacylase 1,protein-coding,NA,Homo sapiens,9606,3p21.2,3,95,104620,177,ENSG00000243989,NA,NA
HBTAR000056,ACYP1,ACYPE,acylphosphatase 1,protein-coding,NA,Homo sapiens,9606,14q24.3,14,97,600875,179,ENSG00000119640,NA,NA
HBTAR000057,ACYP2,ACYM; ACYP,acylphosphatase 2,protein-coding,NA,Homo sapiens,9606,2p16.2,2,98,102595,180,ENSG00000170634,NA,NA
HBTAR000058,ADA,NA,adenosine deaminase,protein-coding,Successful target,Homo sapiens,9606,20q13.12,20,100,608958,186,ENSG00000196839,NA,T03661
HBTAR000059,ADAM10,AD10; AD18; CD156c; CDw156; HsT18717; MADM; RAK; kuz,ADAM metallopeptidase domain 10,protein-coding,Research target,Homo sapiens,9606,15q21.3,15,102,602192,188,ENSG00000137845,NA,T77997
HBTAR000060,ADAR,ADAR1; AGS6; DRADA; DSH; DSRAD; G1P1; IFI-4; IFI4; K88DSRBP; P136,adenosine deaminase RNA specific,protein-coding,NA,Homo sapiens,9606,1q21.3,1,103,146920,225,ENSG00000160710,NA,NA
HBTAR000061,ADARB1,ADAR2; DRABA2; DRADA2; NEDHYMS; RED1,adenosine deaminase RNA specific B1,protein-coding,NA,Homo sapiens,9606,21q22.3,21,104,601218,226,ENSG00000197381,NA,NA
HBTAR000062,ADARB2,ADAR3; RED2,adenosine deaminase RNA specific B2 (inactive),protein-coding,NA,Homo sapiens,9606,10p15.3,10,105,602065,227,ENSG00000185736,NA,NA
HBTAR000063,ADCY1,AC1; DFNB44,adenylate cyclase 1,protein-coding,Successful target,Homo sapiens,9606,7p12.3,7,107,103072,232,ENSG00000164742,NA,T63609
HBTAR000064,ADCY2,AC2; HBAC2,adenylate cyclase 2,protein-coding,Research target,Homo sapiens,9606,5p15.31,5,108,103071,233,ENSG00000078295,NA,T97655
HBTAR000065,ADCY3,AC-III; AC3; BMIQ19,adenylate cyclase 3,protein-coding,NA,Homo sapiens,9606,2p23.3,2,109,600291,234,ENSG00000138031,NA,NA
HBTAR000066,ADCY5,AC5; FDFM,adenylate cyclase 5,protein-coding,Research target,Homo sapiens,9606,3q21.1,3,111,600293,236,ENSG00000173175,NA,T19531
HBTAR000067,ADCY6,AC6; LCCS8,adenylate cyclase 6,protein-coding,NA,Homo sapiens,9606,12q13.12,12,112,600294,237,ENSG00000174233,NA,NA
HBTAR000068,ADCY7,AC7,adenylate cyclase 7,protein-coding,NA,Homo sapiens,9606,16q12.1,16,113,600385,238,ENSG00000121281,NA,NA
HBTAR000069,ADCY8,AC8; ADCY3; HBAC1,adenylate cyclase 8,protein-coding,NA,Homo sapiens,9606,8q24.22,8,114,103070,239,ENSG00000155897,NA,NA
HBTAR000070,ADCY9,AC9; ACIX,adenylate cyclase 9,protein-coding,NA,Homo sapiens,9606,16p13.3,16,115,603302,240,ENSG00000162104,NA,NA
HBTAR000071,ADCYAP1,PACAP,adenylate cyclase activating polypeptide 1,protein-coding,Clinical Trial target,Homo sapiens,9606,18p11.32,18,116,102980,241,ENSG00000141433,NA,T07045
HBTAR000072,ADCYAP1R1,PAC1; PAC1R; PACAPR; PACAPRI,ADCYAP receptor type I,protein-coding,Clinical Trial target,Homo sapiens,9606,7p14.3,7,117,102981,242,ENSG00000078549,NA,T92185
HBTAR000073,ADD1,ADDA,adducin 1,protein-coding,NA,Homo sapiens,9606,4p16.3,4,118,102680,243,ENSG00000087274,NA,NA
HBTAR000074,ADD2,ADDB,adducin 2,protein-coding,NA,Homo sapiens,9606,2p13.3,2,119,102681,244,ENSG00000075340,NA,NA
HBTAR000075,ADD3,ADDL; CPSQ3,adducin 3,protein-coding,NA,Homo sapiens,9606,10q25.1-q25.2,10,120,601568,245,ENSG00000148700,NA,NA
HBTAR000076,PLIN2,ADFP; ADRP,perilipin 2,protein-coding,NA,Homo sapiens,9606,9p22.1,9,123,103195,248,ENSG00000147872,NA,NA
HBTAR000077,ADH1A,ADH1,"alcohol dehydrogenase 1A (class I), alpha polypeptide",protein-coding,Successful target,Homo sapiens,9606,4q23,4,124,103700,249,ENSG00000187758,NA,T65570
HBTAR000078,ADH1B,ADH2; HEL-S-117,"alcohol dehydrogenase 1B (class I), beta polypeptide",protein-coding,NA,Homo sapiens,9606,4q23,4,125,103720,250,ENSG00000196616,NA,NA
HBTAR000079,ADH4,ADH-2; HEL-S-4,"alcohol dehydrogenase 4 (class II), pi polypeptide",protein-coding,NA,Homo sapiens,9606,4q23,4,127,103740,252,ENSG00000198099,NA,NA
HBTAR000080,ADH5,ADH-3; ADHX; FALDH; FDH; GSH-FDH; GSNOR; HEL-S-60p,"alcohol dehydrogenase 5 (class III), chi polypeptide",protein-coding,NA,Homo sapiens,9606,4q23,4,128,103710,253,ENSG00000197894,NA,NA
HBTAR000081,ADH6,ADH-5,alcohol dehydrogenase 6 (class V),protein-coding,NA,Homo sapiens,9606,4q23,4,130,103735,255,ENSG00000172955,NA,NA
HBTAR000082,ADH7,ADH4,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",protein-coding,Research target,Homo sapiens,9606,4q23,4,131,600086,256,ENSG00000196344,NA,T09770
HBTAR000083,ADK,AK,adenosine kinase,protein-coding,Clinical Trial target,Homo sapiens,9606,10q22.2|10q11-q24,10,132,102750,257,ENSG00000156110,NA,T91661
HBTAR000084,ADM,AM; PAMP,adrenomedullin,protein-coding,Research target,Homo sapiens,9606,11p15.4,11,133,103275,259,ENSG00000148926,NA,T20629
HBTAR000085,ADORA1,RDC7,adenosine A1 receptor,protein-coding,Successful target,Homo sapiens,9606,1q32.1,1,134,102775,262,ENSG00000163485,NA,T92072
HBTAR000086,ADORA2A,A2aR; ADORA2; RDC8,adenosine A2a receptor,protein-coding,Successful target,Homo sapiens,9606,22q11.23,22,135,102776,263,ENSG00000128271,NA,T77365
HBTAR000087,ADORA2B,ADORA2,adenosine A2b receptor,protein-coding,Successful target,Homo sapiens,9606,17p12,17,136,600446,264,ENSG00000170425,NA,T86679
HBTAR000088,ADORA3,A3AR,adenosine A3 receptor,protein-coding,Clinical Trial target,Homo sapiens,9606,1p13.2,1,140,600445,268,ENSG00000282608,NA,T36059
HBTAR000089,ADPRH,ARH1; hARH1,ADP-ribosylarginine hydrolase,protein-coding,NA,Homo sapiens,9606,3q13.33,3,141,603081,269,ENSG00000144843,NA,NA
HBTAR000090,PARP1,ADPRT; ADPRT 1; ADPRT1; ARTD1; PARP; PARP-1; PPOL; pADPRT-1,poly(ADP-ribose) polymerase 1,protein-coding,Successful target,Homo sapiens,9606,1q42.12,1,142,173870,270,ENSG00000143799,NA,T06273
HBTAR000091,PARP4,ADPRTL1; ARTD4; PARP-4; PARPL; PH5P; VAULT3; VPARP; VWA5C; p193,poly(ADP-ribose) polymerase family member 4,protein-coding,NA,Homo sapiens,9606,13q12.12,13,143,607519,271,ENSG00000102699,NA,NA
HBTAR000092,ADRA1D,ADRA1; ADRA1A; ADRA1R; ALPHA1; DAR; dJ779E11.2,adrenoceptor alpha 1D,protein-coding,Successful target,Homo sapiens,9606,20p13,20,146,104219,280,ENSG00000171873,NA,T53381
HBTAR000093,ADRA1B,ADRA1; ALPHA1BAR,adrenoceptor alpha 1B,protein-coding,Successful target,Homo sapiens,9606,5q33.3,5,147,104220,278,ENSG00000170214,NA,T29500
HBTAR000094,ADRA1A,ADRA1C; ADRA1L1; ALPHA1AAR,adrenoceptor alpha 1A,protein-coding,Successful target,Homo sapiens,9606,8p21.2,8,148,104221,277,ENSG00000120907,NA,T92609
HBTAR000095,ADRA2A,ADRA2; ADRA2R; ADRAR; ALPHA2AAR; ZNF32,adrenoceptor alpha 2A,protein-coding,Successful target,Homo sapiens,9606,10q25.2,10,150,104210,281,ENSG00000150594,NA,T11448
HBTAR000096,ADRA2B,ADRA2L1; ADRA2RL1; ADRARL1; ALPHA2BAR; FAME2; alpha-2BAR,adrenoceptor alpha 2B,protein-coding,Successful target,Homo sapiens,9606,2q11.2,2,151,104260,282,ENSG00000274286,NA,T41580
HBTAR000097,ADRA2C,ADRA2L2; ADRA2RL2; ADRARL2; ALPHA2CAR,adrenoceptor alpha 2C,protein-coding,Successful target,Homo sapiens,9606,4p16.3,4,152,104250,283,ENSG00000184160,NA,T01777
HBTAR000098,ADRB1,ADRB1R; B1AR; BETA1AR; FNSS2; RHR,adrenoceptor beta 1,protein-coding,Successful target,Homo sapiens,9606,10q25.3,10,153,109630,285,ENSG00000043591,NA,T44068
HBTAR000099,ADRB2,ADRB2R; ADRBR; B2AR; BAR; BETA2AR,adrenoceptor beta 2,protein-coding,Successful target,Homo sapiens,9606,5q32,5,154,109690,286,ENSG00000169252,NA,T52522
HBTAR000100,ADRB3,BETA3AR,adrenoceptor beta 3,protein-coding,Successful target,Homo sapiens,9606,8p11.23,8,155,109691,288,ENSG00000188778,NA,T51408
HBTAR000101,GRK2,ADRBK1; BARK1; BETA-ARK1,G protein-coupled receptor kinase 2,protein-coding,Research target,Homo sapiens,9606,11q13.2,11,156,109635,289,ENSG00000173020,NA,T62548
HBTAR000102,GRK3,ADRBK2; BARK2,G protein-coupled receptor kinase 3,protein-coding,Research target,Homo sapiens,9606,22q12.1,22,157,109636,290,ENSG00000100077,NA,T57174
HBTAR000103,ADSL,AMPS; ASASE; ASL,adenylosuccinate lyase,protein-coding,NA,Homo sapiens,9606,22q13.1,22,158,608222,291,ENSG00000239900,NA,NA
HBTAR000104,ADSS2,ADEH; ADSS; ADSS 2,adenylosuccinate synthase 2,protein-coding,NA,Homo sapiens,9606,1q44,1,159,103060,292,ENSG00000035687,NA,NA
HBTAR000105,AP2A1,ADTAA; AP2-ALPHA; CLAPA1,adaptor related protein complex 2 subunit alpha 1,protein-coding,NA,Homo sapiens,9606,19q13.33,19,160,601026,561,ENSG00000196961,NA,NA
HBTAR000106,AP2A2,ADTAB; CLAPA2; HIP-9; HIP9; HYPJ,adaptor related protein complex 2 subunit alpha 2,protein-coding,NA,Homo sapiens,9606,11p15.5,11,161,607242,562,ENSG00000183020,NA,NA
HBTAR000107,AP1B1,ADTB1; AP105A; BAM22; CLAPB2; KIDAR,adaptor related protein complex 1 subunit beta 1,protein-coding,NA,Homo sapiens,9606,22q12.2,22,162,600157,554,ENSG00000100280,NA,NA
HBTAR000108,AEBP1,ACLP,AE binding protein 1,protein-coding,NA,Homo sapiens,9606,7p13,7,165,602981,303,ENSG00000106624,NA,NA
HBTAR000109,AFM,ALB2; ALBA; ALF,afamin,protein-coding,NA,Homo sapiens,9606,4q13.3,4,173,104145,316,ENSG00000079557,NA,NA
HBTAR000110,AFP,AFPD; FETA; HPAFP,alpha fetoprotein,protein-coding,Clinical Trial target,Homo sapiens,9606,4q13.3,4,174,104150,317,ENSG00000081051,NA,T10828
HBTAR000111,AGA,AGU; ASRG; GA,aspartylglucosaminidase,protein-coding,NA,Homo sapiens,9606,4q34.3,4,175,613228,318,ENSG00000038002,NA,NA
HBTAR000112,ACAN,AGC1; AGCAN; CSPG1; CSPGCP; MSK16; SEDK; SSOAOD,aggrecan,protein-coding,NA,Homo sapiens,9606,15q26.1,15,176,155760,319,ENSG00000157766,NA,NA
HBTAR000113,AGER,RAGE; SCARJ1,advanced glycosylation end-product specific receptor,protein-coding,Clinical Trial target,Homo sapiens,9606,6p21.32,6,177,600214,320,ENSG00000204305,NA,T07400
